book_id,t_book_id,タイトル,再生数,いいね数,エピソード数,公開日,book_source,説明,URL
67ff20d0318dd10f5d01e935,140000000140000137,令嬢決戦！私こそが学園のクイーン,14320934,159992,92,2025-04-16,9,令嬢決戦私こそが学園のクイーン映画では、鏑木エリーは、家族の富を隠しながら公立学校に転校した裕福な高校生。自分の家の財産だけで知られるのに疲れたエリーは、真の友達を作り、普通の高校生活を送りたいと願っ,https://www.reelshort.com/ja/drama/令嬢決戦！私こそが学園のクイーン-67ff20d0318dd10f5d01e935
674ef5067e38e9eddf065d40,140000000140000067,ダイヤモンドの再会,11598430,55069,68,2024-12-03,9,清水まさみはシングルマザー。8年前、初恋の渡辺修平との間に誤解が生じ、彼に自分が妊娠していることを伝えることなく、そのまま別れてしまった。8年後、修平は野球界で史上最年少MVPに輝き、新チームに移籍す,https://www.reelshort.com/ja/drama/ダイヤモンドの再会-674ef5067e38e9eddf065d40
680b29e6a7a4e954560c87f7,140000000140000100,冷酷御曹司の愛妻計画,10861430,147378,85,2025-04-25,9,顔に生まれつきのあざがあるため、家族に見捨てられた凛。そんな彼女がある日、プールで出会ったイケメン大富豪・高嶺総一郎に恋をされる。総一郎は凛を探し続けるが、運命のいたずらで彼女を車で轢いてしまい、記憶,https://www.reelshort.com/ja/drama/冷酷御曹司の愛妻計画-680b29e6a7a4e954560c87f7
6757b32068dd472cc80d0a72,140000000140000041,財閥令嬢様の二重生活,10659154,73643,72,2024-12-10,9,結婚3年、CEO藤堂賢は妻の彩を金目当ての浮気女だと信じていた。非難に耐えかねた彩は離婚し、本来の姿――億万長者の令嬢としての人生を歩み始める。自分の過ちに気づいた賢はどう動く？彩は復讐するのか、それ,https://www.reelshort.com/ja/drama/財閥令嬢様の二重生活-6757b32068dd472cc80d0a72
682be1e401636aac9f017302,140000000140000138,嫌いなアイツの専属メイド!?,9049960,121019,82,2025-05-20,9,真面目な生徒会長、江野沢潤には大きな秘密がある。それは、名門私立高校で最も貧しい生徒だということ。ライバルである超お金持ちの悪ガキ、羽田譲治にアルバイトをクビにされ、父親の医療費を稼ぐ手段を失う。譲治,https://www.reelshort.com/ja/drama/嫌いなアイツの専属メイド!?-682be1e401636aac9f017302
681d709d6cfb3b72f804a5c1,140000000140000164,銃と金とクリスマス,8405779,97315,70,2025-05-09,9,世界最強の軍需産業グループのCEO、仲井戸シュウは、貧しいセールスマンだと勘違いされている。予期せぬことに、彼は会社の社長であるアイリと契約結婚をすることになる。シュウはアイリと一緒にクリスマスディナ,https://www.reelshort.com/ja/drama/銃と金とクリスマス-681d709d6cfb3b72f804a5c1
6784b050709655e2e4055413,140000000140000074,せめて最後に愛のキスを,6680386,38783,89,2025-01-13,9,明里は末期の腎臓癌と診断され、余命わずか。夫・島崎克也は義理の妹・麗子に夢中で、明里を金目当てだと思い込んでいる。明里も彼に愛されていないと思っているが、克也が彼女の余命を知ると状況が一変する。しかし,https://www.reelshort.com/ja/drama/せめて最後に愛のキスを-6784b050709655e2e4055413
67d3c2cf37369d7c3a0431cf,140000000140000045,無職の夫は大富豪だった件!,5272080,44007,66,2025-03-14,9,織田克宏は家族の落ちこぼれ。何もできないダメ男で、最近刑務所から出たばかり。まともな女性なら誰も彼と結婚しない…でも梨香は結婚してくれた。まさか彼は隠された億万長者だったなんて！真実を知った梨香はどう,https://www.reelshort.com/ja/drama/無職の夫は大富豪だった件!-67d3c2cf37369d7c3a0431cf
6861f8128c13fda27006234b,140000000140000123,消防士の元夫、悔恨の炎に焼かれて,3772827,52450,56,2025-06-30,9,娘の有紗が青少年センターの崩壊事故で命を失った後、奈津美は深い悲しみと復讐の念に駆られ、消防士の夫・慎二を責めます。慎二は元恋人の杏花とその娘・恵理子を救う選択をしたのです。奈津美は、慎二と杏花が有紗,https://www.reelshort.com/ja/drama/消防士の元夫、悔恨の炎に焼かれて-6861f8128c13fda27006234b
6784b0d19d9f66640a0a1da9,140000000140000064,帰ってきたお嬢様,3254218,16415,88,2025-01-13,9,誘拐され記憶を失ったいずみは、貧しい直人に育てられた。13年後、冷酷な実母・杏奈が現れ、いずみを取り戻そうとする。いずみは愛情深い父を捨て、富を選ぶのか？,https://www.reelshort.com/ja/drama/帰ってきたお嬢様-6784b0d19d9f66640a0a1da9
67f434fe158efeecf70b8a29,140000000140000034,一目惚れ！今すぐ結婚してくれますか？,2222828,16828,83,2025-04-08,9,ロースクールを支えた夏美は、賢二に捨てられる。理由は？裕福な女性と結婚するため！傷つき裏切られた夏美は見知らぬ男性と結婚するが、後にその男が億万長者のCEO、藤沢一生だと知る！,https://www.reelshort.com/ja/drama/一目惚れ！今すぐ結婚してくれますか？-67f434fe158efeecf70b8a29
67ff585f980e35367f012b4d,140000000140000106,ケーキ職人のワタシが大富豪と偽装結婚した話,2120927,63190,74,2025-04-16,9,控えめで優しいパティシエ・結衣は、娘の親権を守るために偽装結婚を求めるシングルファザーの大富豪・淳一と電撃婚。形だけのはずが、いつしか本物の愛に――。しかし、嫉妬に燃えるライバル、ストーカー化した結衣,https://www.reelshort.com/ja/drama/ケーキ職人のワタシが大富豪と偽装結婚した話-67ff585f980e35367f012b4d
67f9757fed8210901d04168f,140000000140000036,もう一度、君に恋をする,1782719,20083,53,2025-04-12,9,美咲は、人生の愛である玲司がどん底だった時に彼を捨てた。5年後、彼は億万長者となり、彼女の会社を買収しようとし、彼女の人生を地獄に変えようとしている。彼女は彼に別れた本当の理由を伝えるべきか？それとも,https://www.reelshort.com/ja/drama/もう一度、君に恋をする-67f9757fed8210901d04168f
681d702e1cb621f42c069d75,140000000140000141,負け犬の私がバージンを捨てる！,1530179,13629,80,2025-05-09,9,高校生の関根遥の平凡な日常は、父でありバスケットボール監督の関根健司がスカウトした片桐勇人が家に引っ越してきたことで一変する。最初はぎこちなく、衝突もあった二人だが、遥は次第に勇人を頼るようになり、次,https://www.reelshort.com/ja/drama/負け犬の私がバージンを捨てる！-681d702e1cb621f42c069d75
68196eb59ac7827c1e05b4d5,140000000140000070,禁断の誘い～彼のものに～,1348076,9132,78,2025-05-06,9,栗山ルカは、これまでずっと完璧な彼女、完璧な娘として正しい道を歩んできた。しかし、石山翔と出会ったことで、すべてが変わる。家族からの虐待と婚約者の裏切りに耐え続けてきたルカは、ついに限界を迎え、決意を,https://www.reelshort.com/ja/drama/禁断の誘い～彼のものに～-68196eb59ac7827c1e05b4d5
674e672a9407a14398045b47,140000000140000048,Yesから始まるラブストーリー,1262315,6209,80,2024-12-03,9,婚約者と妹に裏切られた望月夏芽は、蓮目翔吾と結婚したが、彼の正体を知らなかった。実は彼は億万長者だったのだ。二人は協力して夏芽の悪い家族たちに立ち向かった。果たして、会社を取り戻し、ハッピーエンドを迎,https://www.reelshort.com/ja/drama/Yesから始まるラブストーリー-674e672a9407a14398045b47
67f96da5432434836b0bd3aa,140000000140000111,奪われたプリマバレリーナ,513933,4048,91,2025-04-12,9,ハロウィンの夜、大富豪の令嬢・高橋美波は姿を消した。貧しいウェイトレスの内田渚は彼女を見つけ、誘拐し、自分の娘を高橋家に引き取らせて裕福な生活を手に入れさせる。13年後、バレエ界で成功を収めた美波だっ,https://www.reelshort.com/ja/drama/奪われたプリマバレリーナ-67f96da5432434836b0bd3aa
