カテゴリ,作品数,比率
英語圏オリジナル,317,30.9%
日本語吹き替え版,294,28.7%
英語圏（シリーズ2）,96,9.4%
中国語圏,96,9.4%
英語圏（シリーズ1）,86,8.4%
日本向けローカライズ,24,2.3%
★日本人キャスト日本オリジナル★,17,1.7%
英語圏（プレミアム）,16,1.6%
スペイン語圏（シリーズ2）,15,1.5%
日本向け（シリーズ2）,14,1.4%
スペイン語圏,14,1.4%
日本向け（プレミアム）,13,1.3%
韓国語圏？,9,0.9%
その他（141300000000002）,2,0.2%
その他（140000000130000）,2,0.2%
その他（140000400130002）,2,0.2%
その他（140021000000000）,2,0.2%
その他（149001000000001）,2,0.2%
その他（141300000000000）,1,0.1%
その他（140000000300000）,1,0.1%
その他（141030000000000）,1,0.1%
その他（148001000000000）,1,0.1%
その他（149000001000000）,1,0.1%
