prefix_15,作品数,総再生数,平均再生数,総いいね数,category
209000000000000,800,1083092382,1353865.4775,11379773,英語オリジナル（新シリーズA）
200000000000000,328,19728246880,60147094.146341465,193034809,英語オリジナル（クラシック）
149000000000000,305,250054752,819851.6459016394,1631600,日本語吹き替え（メイン）
140000000000000,294,770019882,2619115.2448979593,11851533,日本向け吹き替え（メイン）
208000000000000,200,1204281448,6021407.24,11143125,英語特別コンテンツ
209000000000001,117,143362926,1225324.1538461538,1803054,英語オリジナル（新シリーズB）
209000000000002,114,86287621,756908.9561403509,2262925,英語オリジナル（新シリーズC）
149000000000002,92,18758021,203891.53260869565,207527,日本語吹き替え（シリーズC）
148000000000000,88,79036784,898145.2727272727,1077185,中国語圏コンテンツ
149000000000001,85,44596003,524658.8588235294,279445,日本語吹き替え（シリーズB）
200000800000000,47,20802477,442605.89361702127,553573,ReelTalk（トーク番組）
209001000000000,45,152185977,3381910.6,1532300,英語吹き替え版
201300000000002,29,114488662,3947884.896551724,1212853,英語プレミアムC
200000200000000,27,783818563,29030317.14814815,11251427,英語プレミアム
201000000000000,26,36901204,1419277.076923077,594250,英語プレミアムA
140000200000000,24,27899220,1162467.5,555589,日本向けローカライズ
200000000000002,18,510476935,28359829.722222224,6472849,英語オリジナル（最新）
140000000140000,17,94656175,5568010.294117647,939190,🇯🇵 日本人キャスト・日本オリジナル
140000000000002,14,926581,66184.35714285714,11666,日本向け吹き替え（シリーズC）
208000001000000,14,16396471,1171176.5,138226,英語特別シリーズ
142600000000002,13,3612718,277901.3846153846,55246,スペイン語圏（シリーズC）
140001000000000,13,66767498,5135961.384615385,854078,日本向けプレミアム吹き替え
149001000000000,13,20573670,1582590.0,178202,日本語吹き替え（プレミアム）
142600000000000,12,2007343,167278.58333333334,19143,スペイン語圏（メイン）
202600000000000,11,103689103,9426282.090909092,1064324,英語代替A
202600000000002,11,92083062,8371187.454545454,857199,英語代替B
141000000000000,8,4965721,620715.125,58537,韓国語圏コンテンツ
200000800000002,8,2630560,328820.0,95910,ReelTalk（シリーズ2）
209001000000001,7,37751117,5393016.714285715,446083,英語吹き替え版B
201300000000000,6,39041527,6506921.166666667,375740,英語プレミアムB
209001000000002,5,7291016,1458203.2,151211,英語吹き替え版C
201001000000000,5,10492133,2098426.6,181450,英語プレミアム吹き替え
141300000000002,2,35812,17906.0,1268,
200000200000002,2,9981243,4990621.5,181740,
200000000300000,2,6978398,3489199.0,43514,
140021000000000,2,23419012,11709506.0,397808,
141300000000000,1,136557,136557.0,1579,
140000000300000,1,29689,29689.0,453,
140000000130000,1,297264,297264.0,1972,
141030000000000,1,383327,383327.0,4457,
140000400130002,1,22377,22377.0,517,
148001000000000,1,2307642,2307642.0,75799,中国語プレミアム
200000400130002,1,312585,312585.0,10307,
200000000140000,1,333609,333609.0,8086,
149001000000001,1,896271,896271.0,6585,
149000001000000,1,41587,41587.0,813,
200000000130000,1,1710749,1710749.0,17437,
202600200000000,1,338252,338252.0,10067,
209020000000000,1,1253579,1253579.0,23373,
