順位,番号,タイトル,再生数,いいね数,エピソード数,公開日,book_id,t_book_id,タグ
1,137,令嬢決戦！私こそが学園のクイーン,14320934,159992,92,2025-04-16,67ff20d0318dd10f5d01e935,140000000140000137,身分を隠せ|フィール・グッド|学園ロマンス|相続人|女性向けのドラマ|ヤングアダルト|コンテンポラリー
2,67,ダイヤモンドの再会,11598430,55069,68,2024-12-03,674ef5067e38e9eddf065d40,140000000140000067,二度目のチャンス|ラブコメ|幼馴染みの恋人|インディペンデント・ウーマン|女性向けのドラマ|スイート|コンテンポラリー|日本オリジナル
3,100,冷酷御曹司の愛妻計画,10861430,147378,85,2025-04-25,680b29e6a7a4e954560c87f7,140000000140000100,健忘症|身分を隠せ|ワンナイトラブ|億万長者|無邪気な乙女|女性向けのドラマ|スイート|コンテンポラリー
4,41,財閥令嬢様の二重生活,10659154,73643,72,2024-12-10,6757b32068dd472cc80d0a72,140000000140000041,離婚後の愛|身分を隠せ|億万長者|相続人/社会人
5,138,嫌いなアイツの専属メイド!?,9049960,121019,82,2025-05-20,682be1e401636aac9f017302,140000000140000138,女性向けのドラマ|ヤングアダルト|コンテンポラリー|敵から恋人へ|身分を隠せ|ラブコメ|億万長者|インディペンデント・ウーマン
6,164,銃と金とクリスマス,8405779,97315,70,2025-05-09,681d709d6cfb3b72f804a5c1,140000000140000164,男向けのドラマ|カムバックストーリー|コンテンポラリー|身分を隠せ|人違い|とぼける|億万長者|婿
7,74,せめて最後に愛のキスを,6680386,38783,89,2025-01-13,6784b050709655e2e4055413,140000000140000074,あまりに遅すぎる|お涙ちょうだい|済度|家庭主婦|女性向けのドラマ|トキシック|コンテンポラリー
8,45,無職の夫は大富豪だった件!,5272080,44007,66,2025-03-14,67d3c2cf37369d7c3a0431cf,140000000140000045,結婚後の恋愛|身分を隠せ|守る夫|億万長者|コンテンポラリー|女性向けのドラマ|無邪気な乙女|スイート
9,123,消防士の元夫、悔恨の炎に焼かれて,3772827,52450,56,2025-06-30,6861f8128c13fda27006234b,140000000140000123,女性向けのドラマ|家族ドラマ|コンテンポラリー|復讐|お涙ちょうだい|済度|インディペンデント・ウーマン
10,64,帰ってきたお嬢様,3254218,16415,88,2025-01-13,6784b0d19d9f66640a0a1da9,140000000140000064,お涙ちょうだい|再会|済度|聖なる親族|ストロングウィル|家族ドラマ|コンテンポラリー
11,34,一目惚れ！今すぐ結婚してくれますか？,2222828,16828,83,2025-04-08,67f434fe158efeecf70b8a29,140000000140000034,スピード婚|契約の恋人|守る夫|億万長者|相続人/社会人|コンテンポラリー|スイート|女性向けのドラマ
12,106,ケーキ職人のワタシが大富豪と偽装結婚した話,2120927,63190,74,2025-04-16,67ff585f980e35367f012b4d,140000000140000106,契約の恋人|スピード婚|ラブコメ|シングルファーザー|無邪気な乙女|女性向けのドラマ|スイート|コンテンポラリー
13,36,もう一度、君に恋をする,1782719,20083,53,2025-04-12,67f9757fed8210901d04168f,140000000140000036,復讐|二度目のチャンス|お涙ちょうだい|億万長者|インディペンデント・ウーマン|コンテンポラリー|スイート|女性向けのドラマ|Alena Savostikova|Seth Edeen
14,141,負け犬の私がバージンを捨てる！,1530179,13629,80,2025-05-09,681d702e1cb621f42c069d75,140000000140000141,女性向けのドラマ|ヤングアダルト|キャンパス|友達から恋人へ|ハートフェルト|フィール・グッド|学園ハンサム|モブキャラ
15,70,禁断の誘い～彼のものに～,1348076,9132,78,2025-05-06,68196eb59ac7827c1e05b4d5,140000000140000070,タブー|年齢差|億万長者|インディペンデント・ウーマン
16,48,Yesから始まるラブストーリー,1262315,6209,80,2024-12-03,674e672a9407a14398045b47,140000000140000048,結婚後の恋愛|スピード婚|身分を隠せ|億万長者|相続人/社会人|女性向けのドラマ|スイート|Britney Rae Carrera|Alexander Trumble
17,111,奪われたプリマバレリーナ,513933,4048,91,2025-04-12,67f96da5432434836b0bd3aa,140000000140000111,女性向けのドラマ|家族ドラマ|コンテンポラリー|お涙ちょうだい|人違い|あまりに遅すぎる|相続人/社会人
